SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION
"Drexel MD-PhD Interview Days","2014-01-22","2014-01-24",,"","","","","",,,,,
"Emory MD-PhD Program Interview Days","2014-01-23","2014-01-25",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2014-01-23","2014-01-25",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2014-01-23","2014-01-24",,"","","","","",,,,,
"Loyola University Stritch School of Medicine MD-PhD Program Interview Days","2014-01-23","2014-01-25",,"","","","","",,,,,
"U Colorado MD-PhD Program Interview Day","2014-01-23","2014-01-25",,"","","","","",,,,,
"Baylor COM MD-PhD Interivew Days","2014-01-23","2014-01-26",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days (BioEngineering Only)","2014-01-23","2014-01-25",,"","","","","",,,,,
"University System of Georgia MD-PhD Program Interview Day (back up date)","2014-01-23","2014-01-24",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2014-01-23","2014-01-24",,"","","","","",,,,,
"Mayo Clinic MD-PhD Program Interview Days","2014-01-24","2014-01-26",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2014-01-24","2014-01-25",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Day","2014-01-24","2014-01-25",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2014-01-24","2014-01-25",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Interview Days","2014-01-25","2014-01-28",,"","","","","",,,,,
"Saint Louis U MD-PhD Program Interview Days","2014-01-25","2014-01-28",,"","","","","",,,,,
"UC Irvine MD-PhD Program Interview Day","2014-01-27","2014-01-28",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Days","2014-01-27","2014-01-29",,"","","","","",,,,,
"Yale MD-PhD Program Interview Days","2014-01-28","2014-01-29",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days (Medical Anthropology Only)","2014-01-28","2014-01-30",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2014-01-28","2014-01-29",,"","","","","",,,,,
"Stanford MD-PhD Program Interview Days","2014-01-29","2014-01-31",,"","","","","",,,,,
"UCSD MD-PhD Interview Day","2014-01-29","2014-01-30",,"","","","","",,,,,
"University at Buffalo MD-PhD Interview Day","2014-01-29","2014-01-30",,"","","Buffalo MD-PhD Interview Day","","",,,,,
"Tufts MD-PhD Program Interview Day","2014-01-29","2014-01-30",,"","","","","",,,,,
"CWRU MD-PhD Program Interview Days","2014-01-30","2014-02-01",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2014-01-30","2014-01-31",,"","","","","",,,,,
"U Washington MD-PhD Program's Interview Days","2014-01-30","2014-02-02",,"","","","","",,,,,
"Rochester MD-PhD Interview Days","2014-01-30","2014-02-01",,"","","","","",,,,,
"U Colorado MD-PhD Program Interview Day","2014-01-30","2014-02-01",,"","","","","",,,,,
"University of Miami Miller School of Medicine MD-PhD Program Interview Day","2014-01-31","2014-02-01",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2014-01-31","2014-02-01",,"","","","","",,,,,
"UCSD MD-PhD Interview Day","2014-01-31","2014-02-01",,"","","","","",,,,,
"Saint Louis U MD-PhD Program Interview Days","2014-02-01","2014-02-04",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Interview Days","2014-02-01","2014-02-04",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days","2014-02-03","2014-02-05",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Days","2014-02-03","2014-02-05",,"","","","","",,,,,
"Dartmouth MD-PhD Program Interview Day","2014-02-05","2014-02-06",,"","","","","",,,,,
"University at Buffalo MD-PhD Interview Day","2014-02-05","2014-02-06",,"","","Buffalo MD-PhD Interview Day","","",,,,,
"Rochester MD-PhD Interview Days","2014-02-06","2014-02-08",,"","","","","",,,,,
"Ohio State MD-PhD Interview Days","2014-02-06","2014-02-09",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2014-02-06","2014-02-08",,"","","","","",,,,,
"Vanderbilt MD-PhD Program Interview Days","2014-02-06","2014-02-09",,"","","","","",,,,,
"UCSF MD-PhD Program Interview Days","2014-02-06","2014-02-08",,"","","","","",,,,,
"UT Houston/MD Anderson Revisit Days","2014-02-06","2014-02-09",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2014-02-06","2014-02-08",,"","","","","",,,,,
"Mayo Clinic MD-PhD Program Interview Days","2014-02-07","2014-02-09",,"","","","","",,,,,
"Boston U MD-PhD Program Interview Day","2014-02-07","2014-02-08",,"","","","","",,,,,
"Penn State MD-PhD Program Interview Days","2014-02-09","2014-02-11",,"","","","","",,,,,
"U CT MD-PhD Program Interview Day","2014-02-10","2014-02-11",,"","","","","",,,,,
"U Illinois at Chicago MD-PhD Interview Day","2014-02-10","2014-02-11",,"","","Chicago MD-PhD Interview Day","","",,,,,
"UCSF MD-PhD Program Interview Days","2014-02-10","2014-02-12",,"","","","","",,,,,
"Emory MD-PhD Program Interview Days","2014-02-10","2014-02-12",,"","","","","",,,,,
"Yale MD-PhD Program Interview Days","2014-02-11","2014-02-12",,"","","","","",,,,,
"NIH GPP MD-PhD Interview Days","2014-02-11","2014-02-14",,"","","","","",,,,,
"University at Buffalo MD-PhD Interview Day","2014-02-12","2014-02-13",,"","","Buffalo MD-PhD Interview Day","","",,,,,
"Indiana University School of Medicine MD-PhD Program Interview Day","2014-02-12","2014-02-13",,"","","","","",,,,,
"U Maryland MD-PhD Program Interview Days","2014-02-12","2014-02-14",,"","","","","",,,,,
"Northwestern MD-PhD Interview Days","2014-02-12","2014-02-14",,"","","","","",,,,,
"UCLA MD-PhD Interview Day","2014-02-13","2014-02-14",,"","","","","",,,,,
"U Mass MD-PhD Program Interview Days","2014-02-13","2014-02-15",,"","","","","",,,,,
"Rosalind Franklin University of Medicien & Science MD-PhD Interview Day (Track II)","2014-02-14","2014-02-15",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Days","2014-02-17","2014-02-19",,"","","","","",,,,,
"Yale MD-PhD Program Interview Days","2014-02-18","2014-02-19",,"","","","","",,,,,
"Oregon Health & Sciences University MD-PhD Program Interview Days","2014-02-19","2014-02-21",,"","","","","",,,,,
"University at Buffalo MD-PhD Interview Day","2014-02-19","2014-02-20",,"","","Buffalo MD-PhD Interview Day","","",,,,,
"UT Houston/MD Anderson Revisit Days","2014-02-20","2014-02-23",,"","","","","",,,,,
"CWRU MD-PhD Program Interview Days","2014-02-20","2014-02-22",,"","","","","",,,,,
"Stanford MD-PhD Program Interview Days","2014-02-20","2014-02-22",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2014-02-20","2014-02-21",,"","","","","",,,,,
"Indiana University School of Medicine MD-PhD Program Revisit Day","2014-02-20","2014-02-23",,"","","","","",,,,,
"UT Southwestern Revisit Days","2014-02-20","2014-02-23",,"","","","","",,,,,
"U Washington MD-PhD Program's Interview Days","2014-02-20","2014-02-23",,"","","","","",,,,,
"Vanderbilt MD-PhD Program Interview Days","2014-02-20","2014-02-23",,"","","","","",,,,,
"Mayo Clinic MD-PhD Program Interview Days","2014-02-21","2014-02-23",,"","","","","",,,,,
"U Illinois at Chicago MD-PhD Interview Day","2014-02-24","2014-02-25",,"","","Chicago MD-PhD Interview Day","","",,,,,
"Stony Brook MD-PhD Program Interview Day","2014-02-26","2014-02-27",,"","","","","",,,,,
"University at Buffalo MD-PhD Interview Day","2014-02-26","2014-02-27",,"","","Buffalo MD-PhD Interview Day","","",,,,,
"Dartmouth MD-PhD Program Interview Day (tentative)","2014-02-26","2014-02-27",,"","","","","",,,,,
"UVA MD-PhD Interview Days","2014-02-27","2014-03-01",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2014-02-27","2014-02-28",,"","","","","",,,,,
"UC Irvine MD-PhD Program Interview Day","2014-02-27","2014-02-28",,"","","","","",,,,,
"UT Medical School at San Antonio MD-PhD Program Revisit Days","2014-02-28","2014-03-02",,"","","San Antonio MD-PhD Program Revisit Days","","",,,,,
"U CT MD-PhD Program Interview Day","2014-03-03","2014-03-04",,"","","","","",,,,,
"U Illinois at Chicago MD-PhD Interview Day","2014-03-03","2014-03-04",,"","","Chicago MD-PhD Interview Day","","",,,,,
"University at Buffalo MD-PhD Interview Day","2014-03-05","2014-03-06",,"","","Buffalo MD-PhD Interview Day","","",,,,,
"Oregon Health & Sciences University MD-PhD Program Interview Days (tentative)","2014-03-05","2014-03-07",,"","","","","",,,,,
"UAB MD-PhD Program Revisit Days","2014-03-06","2014-03-09",,"","","","","",,,,,
"UT Houston/MD Anderson Revisit Days","2014-03-06","2014-03-09",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2014-03-06","2014-03-08",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2014-03-06","2014-03-07",,"","","","","",,,,,
"Med U South Carolina MD-PhD Program's Revisit Days","2014-03-10","2014-03-12",,"","","","","",,,,,
"Stony Brook MD-PhD Program Interview Day","2014-03-12","2014-03-13",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2014-03-13","2014-03-14",,"","","","","",,,,,
"University System of Georgia MD-PhD Program Revisit Days","2014-03-20","2014-03-22",,"","","","","",,,,,
"AECOM MD-PhD Revisit Day","2014-03-21","2014-03-22",,"","","","","",,,,,
"Stony Brook MD-PhD Program Revisit Days","2014-03-24","2014-03-26",,"","","","","",,,,,
"Med U South Carolina MD-PhD Program's Revisit Days","2014-03-24","2014-03-26",,"","","","","",,,,,
"Indiana University School of Medicine MD-PhD Program Revisit Day","2014-03-27","2014-03-30",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Revisit Days","2014-03-27","2014-03-29",,"","","","","",,,,,
"Baylor COM MD-PhD Revisit Days","2014-03-27","2014-03-30",,"","","","","",,,,,
"Tufts MD-PhD Program Revisit Day","2014-03-28","2014-03-29",,"","","","","",,,,,
"Med U South Carolina MD-PhD Program's Revisit Days","2014-03-31","2014-04-02",,"","","","","",,,,,
"Northwestern MD-PhD Revisit Days","2014-04-02","2014-04-06",,"","","","","",,,,,
"NYU MD-PhD Revisit Days","2014-04-03","2014-04-06",,"","","","","",,,,,
"U Illinois at Chicago MD-PhD Revisit Days","2014-04-03","2014-04-05",,"","","Chicago MD-PhD Revisit Days","","",,,,,
"Mount Sinai MD-PhD Program Revisit Days","2014-04-03","2014-04-06",,"","","","","",,,,,
"U Minnesota MD-PhD Revisit Days","2014-04-03","2014-04-07",,"","","","","",,,,,
"Vanderbilt MD-PhD Program Revisit Days","2014-04-03","2014-04-07",,"","","","","",,,,,
"Emory MD-PhD Revisit Days","2014-04-03","2014-04-05",,"","","","","",,,,,
"UCLA-Cal Tech MD-PhD Program's Revisit Days","2014-04-03","2014-04-06",,"","","","","",,,,,
"Dartmouth MD-PhD Program Revisit Day","2014-04-04","2014-04-05",,"","","","","",,,,,
"U Iowa MD-PhD Revisit Days","2014-04-04","2014-04-06",,"","","","","",,,,,
"CWRU MD-PhD Program Revisit Days","2014-04-04","2014-04-06",,"","","","","",,,,,
"Tufts MD-PhD Program Revisit Day","2014-04-04","2014-04-05",,"","","","","",,,,,
"U Pittsburgh MD-PhD Program's Revisit Days","2014-04-09","2014-04-12",,"","","","","",,,,,
"Harvard MD-PhD Revisit Days","2014-04-09","2014-04-12",,"","","","","",,,,,
"U Chicago MD-PhD Revisit Days","2014-04-10","2014-04-13",,"","","","","",,,,,
"Stanford MD-PhD Revisit Day","2014-04-10","2014-04-11",,"","","","","",,,,,
"Duke MD-PhD Program Revisit Days","2014-04-10","2014-04-14",,"","","","","",,,,,
"Ohio State MD-PhD Revisit Days","2014-04-10","2014-04-13",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Tri-Institutional MD-PhD Program's Revisit Day","2014-04-10","2014-04-12",,"","","","","",,,,,
"U Washington MD-PhD Program's Revisit Days","2014-04-10","2014-04-13",,"","","","","",,,,,
"Johns Hopkins MD-PhD Revisit Days","2014-04-10","2014-04-14",,"","","","","",,,,,
"UVA MD-PhD Revisit Days","2014-04-10","2014-04-14",,"","","","","",,,,,
"Loyola University Stritch School of Medicine MD-PhD Program Revisit Day","2014-04-11","2014-04-12",,"","","","","",,,,,
"Dartmouth MD-PhD Program Revisit Day","2014-04-11","2014-04-12",,"","","","","",,,,,
"Columbia MD-PhD Revisit Day","2014-04-11","2014-04-12",,"","","","","",,,,,
"Rochester MD-PhD Revisit Days","2014-04-11","2014-04-14",,"","","","","",,,,,
"University System of Georgia MD-PhD Program Revisit Days","2014-04-15","2014-04-17",,"","","","","",,,,,
"U Mass MD-PhD Program Revisit Days","2014-04-16","2014-04-19",,"","","","","",,,,,
"UCSF MD-PhD Program Revisit Days","2014-04-23","2014-04-27",,"","","","","",,,,,
"U Michigan MD-PhD Revisit Days","2014-04-24","2014-04-27",,"","","","","",,,,,
"University of Wisconsin, Madison Revisit Day","2014-04-24","2014-04-25",,"","","","","",,,,,
"Wash U MD-PhD Program Revisit Days","2014-04-24","2014-04-28",,"","","","","",,,,,
"U Penn MD-PhD Program Revisit Days","2014-04-24","2014-04-27",,"","","","","",,,,,
"Penn State MD-PhD Program Revisit Days","2014-04-24","2014-04-27",,"","","","","",,,,,
"Tufts MD-PhD Program Revisit Day","2014-04-25","2014-04-26",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2014-08-18","2014-08-20",,"","","","","",,,,,
"Texas A&M MD-PhD Interview Day","2014-08-20","2014-08-21",,"FREQ=WEEKLY;UNTIL=20141217;BYDAY=WE","","","","",,,,,
"U System of Georgia MD-PhD Interview Day","2014-08-20","2014-08-21",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-08-28","2014-08-29",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-09-04","2014-09-05",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2014-09-04","2014-09-05",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2014-09-08","2014-09-10",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2014-09-08","2014-09-10",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-09-11","2014-09-12",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2014-09-11","2014-09-12",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2014-09-12","2014-09-13",,"","","","","",,,,,
"U Chicago MD-PhD Interview Day","2014-09-17","2014-09-18",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2014-09-17","2014-09-19",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2014-09-17","2014-09-18",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2014-09-18","2014-09-19",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2014-09-18","2014-09-21",,"","","","","",,,,,
"Rutgers Robert Wood Johnson Medical School - Princeton University MD-PhD Interview Day","2014-09-19","2014-09-20",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-09-22","2014-09-23",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2014-09-22","2014-09-24",,"","","","","",,,,,
"U System of Georgia MD-PhD Interview Day","2014-09-23","2014-09-24",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2014-09-24","2014-09-26",,"","","","","",,,,,
"University of Virginia MD-PhD Interview Day","2014-09-25","2014-09-27",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2014-09-26","2014-09-27",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2014-09-26","2014-09-27",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2014-10-01","2014-10-03",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2014-10-02","2014-10-04",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2014-10-02","2014-10-04",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2014-10-02","2014-10-05",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2014-10-02","2014-10-03",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2014-10-02","2014-10-05",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2014-10-03","2014-10-04",,"","","","","",,,,,
"University of Arkansas for Medical Sciences MD-PhD Interview Day","2014-10-04","2014-10-05",,"","","","","",,,,,
"Penn State MD-PhD Interview Day","2014-10-05","2014-10-07",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2014-10-06","2014-10-08",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2014-10-06","2014-10-08",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-10-06","2014-10-07",,"","","","","",,,,,
"U System of Georgia MD-PhD Interview Day","2014-10-07","2014-10-08",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2014-10-08","2014-10-10",,"","","","","",,,,,
"U Louisville MD-PhD Interview Day","2014-10-08","2014-10-10",,"","","","","",,,,,
"U Chicago MD-PhD Interview Day","2014-10-08","2014-10-09",,"","","","","",,,,,
"Temple MD-PhD Interview Day","2014-10-08","2014-10-09",,"","","","","",,,,,
"Columbia MD-PhD Program Interview Day","2014-10-09","2014-10-10",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Day","2014-10-09","2014-10-11",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2014-10-10","2014-10-11",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2014-10-10","2014-10-11",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2014-10-10","2014-10-11",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Day","2014-10-13","2014-10-15",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2014-10-13","2014-10-15",,"","","","","",,,,,
"Wayne State MD-PhD Interview Day","2014-10-13","2014-10-14",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-10-13","2014-10-14",,"","","","","",,,,,
"Rutgers Robert Wood Johnson Medical School - Princeton University MD-PhD Interview Day","2014-10-13","2014-10-14",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2014-10-15","2014-10-16",,"","","","","",,,,,
"Stanford MD-PhD Interview Day","2014-10-15","2014-10-17",,"","","","","",,,,,
"Temple MD-PhD Interview Day","2014-10-15","2014-10-16",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2014-10-15","2014-10-17",,"","","","","",,,,,
"UW-Madison MD-PhD Interview Dates","2014-10-16","2014-10-20",,"","","","","",,,,,
"Baylor College of Medicine MD-PhD Interview Day","2014-10-16","2014-10-19",,"","","","","",,,,,
"University of Cincinnati MD-PhD Interview Day","2014-10-16","2014-10-20",,"","","","","",,,,,
"UT-Houston/MD Anderson MD-PhD Program Interview Day","2014-10-16","2014-10-17",,"","","","","",,,,,
"U Michigan MD-PhD Interview Day","2014-10-16","2014-10-18",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2014-10-17","2014-10-18",,"","","","","",,,,,
"U California, Irvine MD-PhD Interview Day","2014-10-20","2014-10-21",,"","","","","",,,,,
"Wayne State MD-PhD Interview Day","2014-10-20","2014-10-21",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2014-10-20","2014-10-22",,"","","","","",,,,,
"U System of Georgia MD-PhD Interview Day","2014-10-21","2014-10-22",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2014-10-22","2014-10-24",,"","","","","",,,,,
"Dartmouth MD-PhD Interview Day","2014-10-22","2014-10-23",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-10-23","2014-10-24",,"","","","","",,,,,
"U California, Davis MD-PhD Interview Day","2014-10-23","2014-10-24",,"","","","","",,,,,
"The Ohio State University MD-PhD Interview Day","2014-10-23","2014-10-26",,"","","","","",,,,,
"U Alabama at Birmingham MD-PhD Interview Day","2014-10-23","2014-10-25",,"","","Birmingham MD-PhD Interview Day","","",,,,,
"Columbia MD-PhD Program Interview Day","2014-10-23","2014-10-24",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Interview Day","2014-10-23","2014-10-24",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Day","2014-10-23","2014-10-26",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2014-10-23","2014-10-26",,"","","","","",,,,,
"Case Western Reserve University MD-PhD Interview Day","2014-10-23","2014-10-25",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2014-10-23","2014-10-25",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Day","2014-10-23","2014-10-25",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2014-10-23","2014-10-24",,"","","","","",,,,,
"University of Virginia MD-PhD Interview Day","2014-10-23","2014-10-25",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2014-10-24","2014-10-25",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2014-10-24","2014-10-25",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2014-10-24","2014-10-25",,"","","","","",,,,,
"Albert Einstein MD-PhD Interview Day","2014-10-24","2014-10-25",,"","","","","",,,,,
"Wayne State MD-PhD Interview Day","2014-10-27","2014-10-28",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2014-10-27","2014-10-29",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Day","2014-10-27","2014-10-29",,"","","","","",,,,,
"Rutgers Robert Wood Johnson Medical School - Princeton University MD-PhD Interview Day","2014-10-27","2014-10-28",,"","","","","",,,,,
"Temple MD-PhD Interview Day","2014-10-28","2014-10-29",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2014-10-29","2014-10-31",,"","","","","",,,,,
"Northwestern MD-PhD Interview Day","2014-10-29","2014-10-31",,"","","","","",,,,,
"U Chicago MD-PhD Interview Day","2014-10-29","2014-10-30",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2014-10-30","2014-10-31",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2014-10-30","2014-11-02",,"","","","","",,,,,
"UTMB MD-PhD Program Interview Day","2014-10-30","2014-11-01",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-10-30","2014-10-31",,"","","","","",,,,,
"U Penn MD-PhD Interview Day","2014-10-30","2014-11-01",,"","","","","",,,,,
"Tri-Instiuttional MD-PhD Program Revisit Day","2014-10-30","2014-10-31",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2014-10-31","2014-11-01",,"","","","","",,,,,
"University of Arkansas for Medical Sciences MD-PhD Interview Day","2014-11-01","2014-11-02",,"","","","","",,,,,
"U Illinois, Chicago MD-PhD Interview Day","2014-11-03","2014-11-04",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-11-03","2014-11-04",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2014-11-03","2014-11-05",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2014-11-03","2014-11-05",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Day","2014-11-03","2014-11-05",,"","","","","",,,,,
"Wayne State MD-PhD Interview Day","2014-11-03","2014-11-04",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2014-11-04","2014-11-05",,"","","","","",,,,,
"U System of Georgia MD-PhD Interview Day","2014-11-04","2014-11-05",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2014-11-04","2014-11-05",,"","","","","",,,,,
"Temple MD-PhD Interview Day","2014-11-05","2014-11-06",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2014-11-05","2014-11-07",,"","","","","",,,,,
"Indiana MD-PhD Interview Day","2014-11-05","2014-11-06",,"","","","","",,,,,
"U Louisville MD-PhD Interview Day","2014-11-05","2014-11-07",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2014-11-06","2014-11-09",,"","","","","",,,,,
"University of Virginia MD-PhD Interview Day","2014-11-06","2014-11-08",,"","","","","",,,,,
"U Rochester MD-PhD Interview Day","2014-11-06","2014-11-08",,"","","","","",,,,,
"UT-Houston/MD Anderson MD-PhD Program Interview Day","2014-11-06","2014-11-07",,"","","","","",,,,,
"U Nebraska MD-PhD Interview Day","2014-11-06","2014-11-07",,"","","","","",,,,,
"Baylor College of Medicine MD-PhD Interview Day","2014-11-06","2014-11-09",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2014-11-07","2014-11-08",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2014-11-07","2014-11-08",,"","","","","",,,,,
"Iowa MD-PhD Interview Day","2014-11-07","2014-11-09",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2014-11-07","2014-11-08",,"","","","","",,,,,
"Columbia MD-PhD Program Interview Day","2014-11-07","2014-11-08",,"","","","","",,,,,
"Albert Einstein MD-PhD Interview Day","2014-11-07","2014-11-08",,"","","","","",,,,,
"Penn State MD-PhD Interview Day","2014-11-09","2014-11-11",,"","","","","",,,,,
"U California, Irvine MD-PhD Interview Day","2014-11-10","2014-11-11",,"","","","","",,,,,
"Wayne State MD-PhD Interview Day","2014-11-10","2014-11-11",,"","","","","",,,,,
"Pittsburgh MD-PhD Interview Day","2014-11-10","2014-11-11",,"","","","","",,,,,
"UT HSC San Antonio MD-PhD Interview Day","2014-11-10","2014-11-12",,"","","","","",,,,,
"Yale MD-PhD Interview Day","2014-11-10","2014-11-12",,"","","","","",,,,,
"Thomas Jefferson U MD-PhD Interview Day","2014-11-11","2014-11-12",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2014-11-12","2014-11-13",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Day","2014-11-12","2014-11-14",,"","","","","",,,,,
"Indiana MD-PhD Interview Day","2014-11-12","2014-11-13",,"","","","","",,,,,
"Stanford MD-PhD Interview Day","2014-11-12","2014-11-14",,"","","","","",,,,,
"Oregon Health & Science U MD-PhD Interview Day","2014-11-12","2014-11-14",,"","","","","",,,,,
"Northwestern MD-PhD Interview Day","2014-11-12","2014-11-14",,"","","","","",,,,,
"Dartmouth MD-PhD Interview Day","2014-11-12","2014-11-13",,"","","","","",,,,,
"U Florida MD-PhD Interview Day","2014-11-13","2014-11-14",,"","","","","",,,,,
"U Michigan MD-PhD Interview Day","2014-11-13","2014-11-15",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Interview Day","2014-11-13","2014-11-14",,"","","","","",,,,,
"Wash U St Louis MD-PhD Interview Day","2014-11-13","2014-11-16",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2014-11-14","2014-11-15",,"","","","","",,,,,
"Rutgers Robert Wood Johnson Medical School - Princeton University MD-PhD Interview Day","2014-11-14","2014-11-15",,"","","","","",,,,,
"U Miami MD-PhD Interview Day","2014-11-14","2014-11-15",,"","","","","",,,,,
"U California, Davis MD-PhD Interview Day","2014-11-16","2014-11-17",,"","","","","",,,,,
"Virginia Commonwealth University MD-PhD Interview Day","2014-11-17","2014-11-19",,"","","","","",,,,,
"Wayne State MD-PhD Interview Day","2014-11-17","2014-11-18",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2014-11-18","2014-11-19",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2014-11-18","2014-11-19",,"","","","","",,,,,
"U System of Georgia MD-PhD Interview Day","2014-11-18","2014-11-19",,"","","","","",,,,,
"Tufts MD-PhD Program Interview Day","2014-11-19","2014-11-20",,"","","","","",,,,,
"U Chicago MD-PhD Interview Day","2014-11-19","2014-11-20",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2014-11-19","2014-11-20",,"","","","","",,,,,
